Role,Category,Qualifications,Institutes,Notes,Employers,Sources,Verify
Sports Physiotherapist,Sports Science & Medicine,"10+2 (Science) -> Bachelor of Physiotherapy (BPT, ~4.5 yrs incl. internship) -> optional Master of Physiotherapy (MPT) in Sports Physiotherapy (2 yrs). State Physiotherapy Council registration where applicable.","Jamia Millia Islamia (Delhi) MPT Sports; Sri Ramachandra Institute (Chennai) MPT Sports Physiotherapy; Dr. D.Y. Patil University; Guru Nanak Dev University, Amritsar; Punjabi University, Patiala; Amity Institute of Health Allied Sciences","India has no single unified statutory physiotherapy licensing body (state/council-level, evolving)","NSFs, IPL/pro teams, SAI centres, private clinics","collegedunia.com, sriramachandra.sport, kollegeapply.com",yes
Sports Nutritionist / Dietitian,Sports Science & Medicine,"Bachelor's/Master's in Nutrition & Dietetics or Food Science + sports-nutrition-specific certificate (NSQF L6 Sports Nutritionist, ACE Fitness Nutrition Specialist, IGMPI Certified Sports Nutritionist)",IGMPI Certified Sports Nutritionist; IISDT Diploma in Sports & Fitness Nutrition; NHCA Sports Nutrition & Dietetics Diploma; university M.Sc. Food & Nutrition programmes,No single unified dietitian licensing law in India,"sports academies, IPL/league teams, fitness chains, hospitals","igmpi.ac.in, iisdt.in, nhca.in",yes
Sports Psychologist,Sports Science & Medicine,B.A./B.Sc. Psychology -> M.A./M.Sc. Sport Psychology (2 yrs) + supervised internship,"LNIPE Gwalior (M.Sc./PG Diploma Sport Psychology); National Sports University, Manipur (M.A. Sports Psychology); Sri Ramachandra Institute, Chennai (M.Sc. Sports & Exercise Psychology); Jain University, Bangalore (PG Diploma); Guru Nanak Dev University, Amritsar",Clinical practice generally expects RCI registration if offering therapeutic services (not confirmed sport-specific),"NSFs, SAI, IPL/pro teams","nsu.ac.in, lnipe.edu.in, sriramachandra.sport, pefindia.org",yes
Strength & Conditioning (S&C) Coach,Sports Science & Medicine,"Bachelor's in Sports Science/Physical Education/Exercise Science + international certification, most commonly NSCA-CSCS (Certified Strength & Conditioning Specialist)","NSCA Global Chapter India (CSCS exam-prep, ~5 months, ~Rs 60,000 + exam fee); LNIPE Gwalior and NSNIS Patiala for foundational sports science degrees/diplomas","CSCS is a US-based accreditation, not an Indian statutory license; requires recertification every 3 years","IPL/league teams, SAI centres, academies","nsca.com, nscaindia.com",yes
Sports Physician / Sports Medicine Doctor,Sports Science & Medicine,MBBS -> internship -> NEET-PG -> MD in Sports Medicine (3 yrs) OR PG Diploma in Sports Medicine (2 yrs). NMC/State Medical Council registration required.,Vardhman Mahavir Medical College & Safdarjung Hospital (Delhi); Armed Forces Medical College (Pune); Sri Ramachandra Medical College (Chennai); NSNIS Patiala PG Diploma (affiliated Baba Farid University of Health Sciences),"Reported salary Rs 22.9-24 lakh/yr for experienced professionals (source-cited estimate, not independently verified)",,"nsnis.org, medicaldialogues.in, propelld.com",yes
Biomechanist / Sports Biomechanics Specialist,Sports Science & Medicine,Bachelor's in Sports Science/Physiotherapy/Kinesiology -> M.Sc. Sports Biomechanics & Kinesiology (entrance test + physical/medical exam for LNIPE-type institutes),"LNIPE Gwalior - Dept. of Sports Biomechanics, M.Sc. Sports Biomechanics; also embedded within MPT Sports Physiotherapy syllabi at various universities",,"SAI, NSFs, sports science labs, pro teams","lnipe.edu.in, indcareer.com",yes
Athletic Trainer / Rehabilitation Specialist,Sports Science & Medicine,"Not standardised in India - common routes: BPT/MPT (rehab-focused), or private certificates (Rehabilitation Fitness Trainer, Fitness Rehabilitation Specialist). US BOC Certification (via NATA-accredited master's) not directly transferable.",IISDT - Certificate in Rehabilitation Fitness Trainer / Fitness Rehabilitation Specialist; MPT programmes functioning as the de facto Indian equivalent,Role often merges with 'Sports Physiotherapist' in Indian job postings,,"iisdt.in, bocatc.org, nata.org",yes
Exercise Physiologist,Sports Science & Medicine,Bachelor's in Exercise Physiology/Physical Education (B.P.Ed/B.Sc.) -> M.Sc. Exercise Physiology,"LNIPE Gwalior - M.Sc. Exercise Physiology & Nutrition; NSNIS Patiala - Dept. of Exercise Physiology (M.Sc., PG Diploma, certificate courses); SAI Bengaluru (Exercise Physiology division); LNIPE Assam",,"SAI centres, NSFs, research institutions","nsnis.org, collegedunia.com, saibengaluru.org",yes
Sports Coach (discipline-specific),Athlete Development & Coaching,"NIS Certificate Course in Sports Coaching (6 weeks) -> Diploma -> 2-yr NIS Master's Diploma (affiliated Punjabi University, Patiala). Federation-specific licenses also apply (e.g. AIFF Grassroots -> C -> B -> A License for football).",NSNIS Patiala (principal NIS coaching hub); AIFF coaching license pathway (football); BCCI/NCA pathway for cricket (not independently confirmed - verify directly with NCA/BCCI),,"SAI, state sports departments, NSFs, private academies, schools","nsnis.org, sportsauthorityofindia.nic.in, thebenchviewsoccer.com",yes
Talent Scout / Talent Identification Officer,Athlete Development & Coaching,Not standardised - no dedicated degree; typically staffed via SAI/NSF coaching cadres or B.P.Ed/M.P.Ed-qualified personnel,"No dedicated degree identified; key programme is SAI's Khelo India Rising Talent Identification Scheme (KIRTI), which engages coaches, PE teachers and volunteers",,"SAI, Khelo India, state sports departments, private academies","nicobartimes.com, saijobs.sportsauthorityofindia.gov.in",yes
Performance Analyst,Athlete Development & Coaching,General degree (often sports science/management) + specialised video/match-analysis training; practical experience often valued over a fixed degree,NSNIS Patiala - PG Diploma in Sports Performance Analysis; CoLLearn Sports Analytics course (NSDC/Skill India); Rajasthan Royals online Sports Analytics certification,Reported starting salaries up to Rs 8 LPA (source-cited estimate),"IPL/pro teams, NSFs, analytics companies","nsnis.org, isst.co.in, collearnsports.com",yes
Youth Development Officer / Grassroots Development Coach,Athlete Development & Coaching,"Discipline-specific grassroots coaching license, e.g. AIFF Grassroots License -> C License (football); role largely federation/club-defined",AIFF Grassroots/C/B/A License pathway (football); no single named cross-sport Indian degree programme identified,,"football/cricket academies, ISL clubs (e.g. 'Head of Youth Development' roles), state associations","the-aiff.com, sportskeeda.com",yes
High-Performance Director,Athlete Development & Coaching,Bachelor's degree (any stream) + typically 5-15 yrs elite sport/coaching/management experience; career path usually via Head Coach/Senior National Coach roles or sports management PG qualifications,"Feeder qualifications: NSNIS Patiala coaching diplomas, LNIPE degrees, IIM Rohtak Executive PG Diploma in Sports Management, IISWBM PG Diploma in Sports Management",Verified example: Hockey India 'Director High Performance' role (via SAI jobs portal),,"saijobs.sportsauthorityofindia.gov.in, iimrohtak.ac.in, iiswbm.edu",yes
Sports Administrator (Academy Manager),Athlete Development & Coaching,Bachelor's degree (any stream) + Diploma/PG Diploma in Sports Management (1-2 yrs),IIM Rohtak (Executive PG Diploma in Sports Management); IISWBM Kolkata (PG Diploma in Sports Management); NASM Mumbai (UG Diploma in Sports Management),,"private academies, schools/colleges, state/national federations, facility operators","iimrohtak.ac.in, iiswbm.edu, isst.co.in, nasm.edu.in",yes
Sports Event Manager,Event Management & Operations,Bachelor's degree (any stream) + PG Diploma/PGDM/PGP in Sports Management (1-2 yrs),"ISBR Bangalore (2-yr PGDM Sports Management); IISWBM Kolkata (1-yr PGDSM); IISM Mumbai (11-month PGP/PGDSM); AISTS India (Mumbai, benchmarked to Swiss AISTS standards)",,"IPL franchises, BCCI, leagues/federations, event agencies (IMG Reliance, Percept), Khelo India/SAI events. Reported salary: freshers ~Rs 2.5-5 LPA, rising to ~Rs 10 LPA","isbr.in, iiswbm.edu, iismworld.com, aists.org",yes
Tournament Director / Competition Manager,Event Management & Operations,Sports management diploma/degree common but no single mandatory qualification; sport-specific technical-official pathways run through each NSF (umpiring/refereeing certifications),"Not standardised - NSFs (BCCI, AIFF etc.) run own official/technical-delegate tracks; NSNIS Patiala offers officiating-adjacent certificate courses","Esports tournament management is an emerging, less formalised track",,"gaqm.org (international CSM cert, not India-specific), frontlinesmedia.in, productioncrew.in",yes
Sports Hospitality Manager,Event Management & Operations,"Diploma/degree in Hotel/Hospitality Management (3-4 yrs, entry after 10+2 ~50%); postgraduate route via MBA in Hospitality Management",Institute of Hotel Management (IHM) network under NCHMCT; International Institute of Hotel Management (IIHM); Amity School of Hospitality; admission via NCHMCT JEE/GNIHM JET/LPUNEST,No dedicated 'sports hospitality' degree in India - filled by hospitality-management graduates moving into sports/event hospitality on the job,,"indiaeducation.net, en.wikipedia.org (IHM Jaipur), collegedunia.com",yes
Volunteer Coordinator (major games/events),Event Management & Operations,Not standardised - typically a graduate with event-management or NGO/community-organising experience; games-specific programmes train coordinators internally,No India-specific certification identified; comparable structures at Glasgow 2026 Commonwealth Games / Aichi-Nagoya 2026 Asian Games run in-house training,"Past Indian-hosted events (2010 CWG Delhi) staffed via Organising Committees, university/NSS/NCC partnerships",,"the11rings.wordpress.com, careerhub.gcu.ac.uk, insidethegames.biz",yes
Sports Logistics Manager,Event Management & Operations,"Degree in business administration/logistics/supply chain, often paired with a sports/event management diploma; hands-on event experience heavily weighted","ISST PG Diploma in Sports Management for Working Professionals (covers event logistics for leagues like MPL, Tennis Premier League)",No dedicated 'sports logistics' certification body in India; role typically absorbed within broader sports/event management qualifications,,"isst.co.in, teami.org",yes
Ticketing & Fan Experience Manager,Event Management & Operations,"Bachelor's degree with hospitality/sports management/marketing background; familiarity with CRM, ticketing systems, fan-engagement analytics",IISM Mumbai and general BBA/PGDM Sports Management programmes list this as a career outcome rather than a dedicated certificate,No India-specific 'fan experience' certification found,"IPL franchises, leagues, event companies","iismworld.com, aaftonline.com, in.indeed.com",yes
Broadcast Operations Manager (event-side),Event Management & Operations,Degree/diploma in broadcast engineering or mass communication + 2-4 yrs sports production/broadcasting experience,"No single dedicated 'sports broadcast operations' course; skills built via general broadcast-engineering/mass-communication diplomas + on-the-job training with broadcasters (Star Sports, Sony Sports Network) or LOCs of ICC/FIFA/AIFF events",Verified example: AIFF LOC job posting for FIFA U-17 Women's World Cup 2022. India relies more on 'fly-pack' setups than OB vans,,"the-aiff.com, screenskills.com, thebroadcastbridge.com",yes
Stadium / Venue Manager,Facility & Infrastructure Management,"PG Diploma/degree in Sports Management covering operations management, event planning, risk assessment, security planning, VIP/hospitality management",AISTS India (Mumbai); IISWBM Kolkata (PGDSM); ISST Mumbai; Johan Cruyff Institute's online 'Course in Venue Management and Operations' (international),,"stadium operators, IPL franchises, state sports authorities, venue management companies","aists.org, iiswbm.edu, johancruyffinstitute.com, isst.co.in",yes
Sports Facility Operations Manager,Facility & Infrastructure Management,"Certified Sports Facility Manager (CSFM) certification, or a broader Sports Management degree/PGDM with facility-management modules","Sports & Management Research Institute (SMRI) - CSFM course, accredited by Kerala Academy for Skills Excellence (KASE); general BSM/PGDM Sports Management programmes (ISST, IISWBM, IISM)",SMRI's CSFM appears to be the only India-specific facility-manager-branded certification found,,"smri.in, mysmri.com, isst.co.in",yes
Turf / Groundsman - Groundskeeping Manager,Facility & Infrastructure Management,"Cricket: BCCI Curator's Certification Course Level 1 (~3 weeks, 75 sessions, 2-day/150-mark exam) covering pitch construction, drainage, soils, grass/weed management. Football/turf generally: no equivalent India-specific body identified.","BCCI National Cricket Academy (NCA), Mohali - Curator Certification Course (gold-standard credential for pitch curators); NSNIS Patiala also lists a Ground Management Course","Course fees reported ~Rs 5,000-10,000",,"bcci.tv (curator certification articles), dailyexcelsior.com, nsnis.org",yes
Fitness Centre / Gym Manager,Facility & Infrastructure Management,Certificate/Diploma in Gym & Fitness/Fitness Centre Management (~250-450 hours); minimum entry generally 10+2,"Keleven Fitness Academy (Gym Setup and Management Course, 8 branches); Gayo Fitness Academy (CCFCM, University of Mumbai-approved, NAAC A); ASAP Kerala (Certified General Fitness Trainer, govt. skill scheme); Fit & Met Academy (Diploma in Fitness and Wellness Management)",Private/skill-development certifications rather than university degrees,,"keleven.com, asapkerala.gov.in, gayofitnessacademy.com, fitnmet.com",yes
Sports Infrastructure Project Manager,Facility & Infrastructure Management,Civil/structural engineering degree + project management certification (e.g. PMP); working knowledge of federation facility standards (World Athletics/FIFA/ICC/BWF) and DPR preparation,"Standard civil engineering degree programmes + PMI's PMP certification (international, widely used in India); specialised short course - Pertecnica Engineering's Stadium & Sports Complex Construction Course for Civil Engineers",No dedicated Indian university degree titled 'Sports Infrastructure Project Management' found,"SAI, state sports departments (Khelo India), infrastructure contractors","pertecnica.in, vrsipl.com, 4ksports.in",yes
Security & Crowd Management Officer (sports venues),Facility & Infrastructure Management,"India: private-provider Certificate in Security Officer / Certificate in Cricket & Sports Management (crowd-management, accreditation, risk-assessment modules). International (not India-specific): NCS4's Certified Sport Security Professional (CSSP), UK Level 2/4 Spectator Safety qualifications.",Indian Institute of Skill Development Training (IISDT) - Certificate in Security Officer / Diploma in Security Officer Skills and Crisis Management / Certificate in Cricket & Sports Management,"No India-specific equivalent to NCS4's CSSP or UK Spectator Safety found; roles rely on private certificates, in-house training, and international consultancy for large events",,"ncs4.usm.edu, iisdt.in, crowdsafetytraining.com, theicss.org",yes
Sports Goods Product Designer,Manufacturing & Equipment,"Bachelor's/Master's in Product Design or Industrial Design (B.Des/M.Des), or engineering degree (mechanical/product design). No India-specific 'sports goods design' named degree exists.",NID Ahmedabad (Industrial Design); IIT Bombay IDC School of Design; IIT Guwahati/Delhi (B.Des Industrial Design); Pearl Academy; MIT Institute of Design Pune; Srishti Manipal Institute,,"sporting goods manufacturers/exporters in Jalandhar, Meerut, Delhi-NCR; larger brands' India design studios","careers360.com, losangeles.gladeo.org, shiksha.com",yes
Manufacturing / Production Manager (Sports Goods Factory),Manufacturing & Equipment,"B.Tech/B.E. Mechanical, Industrial, or Production Engineering (preferred); MBA in Operations a plus. Employers often weight 3+ yrs floor experience and sector exposure over exact degree.",Any AICTE-recognised Mechanical/Production/Industrial Engineering B.Tech; NITIE Mumbai for Industrial Engineering & Operations Management; Punjab Technical University-affiliated colleges (Jalandhar cluster),"Jalandhar + Meerut account for ~75-80% of India's sports goods production (Jalandhar: 100+ major units, ~20,000 small-scale units)",,"simplyhired.co.in, sgmea.org, glassdoor.co.in",yes
Quality Assurance / QC Engineer (Sports Equipment),Manufacturing & Equipment,"Bachelor's/Master's in Quality/Industrial/Mechanical Engineering; 2-5 yrs experience common. ASQ's Certified Quality Engineer (CQE) sometimes preferred (international, not India-specific).","Any AICTE-recognised Mechanical/Industrial Engineering programme; CIPET (plastics/rubber testing, NABL/BIS-accredited labs); NITRA (textile/apparel QC testing)",Role involves compliance auditing and BIS/ISO standards testing for exported goods,,"careervira.com, cipet.gov.in, nitratextile.org",yes
Supply Chain & Sourcing Manager (Sports Goods),Manufacturing & Equipment,Bachelor's in Business/Engineering + MBA/specialisation in Supply Chain/Operations Management preferred; 5-8 yrs sourcing/procurement experience often sought,"MBA with Supply Chain/Operations specialisation (IIMs, NITIE Mumbai, SP Jain, MDI Gurgaon); Indian Institute of Foreign Trade (IIFT) for export management","Sporting Syndicate (Jalandhar, est. 1960) cited as India's largest sports goods manufacturer/exporter and active recruiter",,"michaelpage.co.in, naukri.com, simplyhired.co.in",yes
R&D Engineer (Sports Equipment Materials/Technology),Manufacturing & Equipment,"Bachelor's/Master's in Materials Science/Engineering, Polymer/Plastics Engineering, or Mechanical Engineering; 3-6 yrs experience typical for mid-level roles","CIPET (R&D centres in Bhubaneswar, Chennai, Bengaluru - polymer/plastics/composites); IIT Materials Science & Metallurgical Engineering departments (Kharagpur, Madras, Bombay, Delhi); NITRA for technical textile R&D",No India source found describing a dedicated 'sports equipment R&D engineer' job title - role inferred from adjacent materials-science postings; treat as 'varies by employer',,"cipet.gov.in, in.indeed.com",yes
Textile / Apparel Designer (Sportswear),Manufacturing & Equipment,B.Des in Knitwear Design or Textile Design; B.FTech in Apparel Production; short certificate courses in Sportswear Design & Knitting also available,"NIFT - B.Des Knitwear Design (explicitly covers sportswear/knitted apparel), B.Des Textile Design, B.FTech Apparel Production; NIFT Certificate Programme in Sportswear Design & Knitting",NIFT's Knitwear Design programme is the most directly sportswear-relevant formal degree found,,"nift.ac.in, texmin.gov.in",yes
