Title,Authors,Year,Genre,Region,Synopsis,Link,Verify
Dreams of a Billion: India and the Olympic Games,Boria Majumdar and Nalin Mehta,2020,History,India,"Why a country of a billion people has won so few Olympic medals, and what has begun to change.",https://www.amazon.in/s?k=Dreams+of+a+Billion%3A+India+and+the+Olympic+Games+Boria+Majumdar,yes
The Commonwealth of Cricket,Ramachandra Guha,2020,History,India,"A lifetime's cricket writing and watching, from schoolboy games to the boardroom.",https://www.amazon.in/s?k=The+Commonwealth+of+Cricket+Ramachandra+Guha,yes
Rise of the Ultra Runners,Adharanand Finn,2019,Reportage,Global,"A journalist's year inside ultrarunning, and why people submit to it.",https://www.amazon.in/s?k=Rise+of+the+Ultra+Runners+Adharanand+Finn,yes
A Century Is Not Enough,Sourav Ganguly,2018,Autobiography,India,"Captaincy, comeback and the rebuilding of Indian cricket's self-belief, told by the man who led it.",https://www.amazon.in/s?k=A+Century+Is+Not+Enough+Sourav+Ganguly,yes
Eleven Gods and a Billion Indians,Boria Majumdar,2018,Reportage,India,"The business, politics and governance of Indian cricket after the IPL.",https://www.amazon.in/s?k=Eleven+Gods+and+a+Billion+Indians+Boria+Majumdar,yes
Endure,Alex Hutchinson,2018,Sports science,Global,"Where the limits of human endurance actually sit, and how much of the ceiling is in the brain.",https://www.amazon.in/s?k=Endure+Alex+Hutchinson,yes
The Fire Burns Blue,Karunya Keshav and Sidhanta Patnaik,2018,History,India,"The first full history of women's cricket in India, assembled from records nobody had kept.",https://www.amazon.in/s?k=The+Fire+Burns+Blue+Karunya+Keshav,yes
Ace Against Odds,Sania Mirza,2016,Autobiography,India,"A career built against expectation, on and off the tennis court.",https://www.amazon.in/s?k=Ace+Against+Odds+Sania+Mirza,yes
Shoe Dog,Phil Knight,2016,Business & economics,Global,"The founding of Nike, told as a memoir rather than a business case study.",https://www.amazon.in/s?k=Shoe+Dog+Phil+Knight,yes
Playing It My Way,Sachin Tendulkar with Boria Majumdar,2014,Autobiography,India,"The full account of a twenty-four-year international career, from the Mumbai maidans to the 2011 World Cup.",https://www.amazon.in/s?k=Playing+It+My+Way+Sachin+Tendulkar,yes
The Second Half,Roy Keane with Roddy Doyle,2014,Autobiography,Global,"Management, temperament and the end of a playing career, written with a novelist.",https://www.amazon.in/s?k=The+Second+Half+Roy+Keane,yes
Legacy,James Kerr,2013,Coaching & leadership,Global,Fifteen lessons drawn from the culture of the New Zealand All Blacks.,https://www.amazon.in/s?k=Legacy+James+Kerr,yes
The Boys in the Boat,Daniel James Brown,2013,History,Global,"Nine American rowers, the Depression, and the 1936 Berlin Olympics.",https://www.amazon.in/s?k=The+Boys+in+the+Boat+Daniel+James+Brown,yes
The Race of My Life,Milkha Singh with Sonia Sanwalka,2013,Autobiography,India,"Partition, the army, and the 400m final at Rome — the making of the Flying Sikh.",https://www.amazon.in/s?k=The+Race+of+My+Life+Milkha+Singh,yes
The Sports Gene,David Epstein,2013,Sports science,Global,"What genetics does and does not explain about elite performance, weighed against practice.",https://www.amazon.in/s?k=The+Sports+Gene+David+Epstein,yes
Unbreakable,Mary Kom with Dina Serto,2013,Autobiography,India,"From Manipur to world titles, and the cost of boxing while raising a family.",https://www.amazon.in/s?k=Unbreakable+Mary+Kom,yes
Playing to Win,Saina Nehwal,2012,Autobiography,India,"The training, travel and family support behind India's rise in badminton.",https://www.amazon.in/s?k=Playing+to+Win+Saina+Nehwal,yes
Bounce,Matthew Syed,2010,Sports science,Global,"The case against innate talent, argued by a former international table tennis player.",https://www.amazon.in/s?k=Bounce+Matthew+Syed,yes
Born to Run,Christopher McDougall,2009,Reportage,Global,"The Tarahumara of Mexico, ultrarunning, and an argument about how humans are built to move.",https://www.amazon.in/s?k=Born+to+Run+Christopher+McDougall,yes
Open,Andre Agassi,2009,Autobiography,Global,An unusually honest tennis memoir about a career the author says he did not enjoy.,https://www.amazon.in/s?k=Open+Andre+Agassi,yes
Soccernomics,Simon Kuper and Stefan Szymanski,2009,Business & economics,Global,Football examined with data — why some countries overperform and most clubs lose money.,https://www.amazon.in/s?k=Soccernomics+Simon+Kuper,yes
Inverting the Pyramid,Jonathan Wilson,2008,History,Global,"A history of football tactics, from the 2-3-5 to the modern press.",https://www.amazon.in/s?k=Inverting+the+Pyramid+Jonathan+Wilson,yes
